,Mean,Median,Variance,Standard Deviation
time,150.0,150.0,7475.0,86.45808232895291
cpu%,41.60033444816054,40.0,103.84036901528584,10.190209468665786
mem%,33.309030100334446,33.3,0.010153082983546731,0.10076250782680397
down,0.0,0.0,0.0,0.0
