,Mean,Median,Variance,Standard Deviation
time,150.0,150.0,7475.0,86.45808232895291
cpu%,80.55183946488295,100.0,1053.1688137191084,32.45256251390803
mem%,59.283612040133775,59.3,0.24540167448542116,0.49538033316374314
down,0.9357127926421406,0.0,15.337847673906088,3.916356428353539
