time,cpu%,mem%,down,Label
283,2.5,42.0,0.0,without
284,1.2,41.8,0.0,without
285,1.4,41.7,0.0,without
286,1.3,41.7,0.0107421875,without
287,0.0,41.7,0.0064453125,without
288,2.5,41.7,0.0,without
289,1.2,41.7,0.0,without
290,0.0,41.7,0.0,without
291,1.8,41.7,0.0,without
292,1.2,41.7,0.0,without
293,2.1,41.7,0.0,without
294,1.9,41.7,0.0,without
295,2.1,41.7,0.0,without
296,3.4,41.7,0.0,without
297,1.9,41.7,0.0,without
298,2.7,41.7,0.0,without
299,0.6,41.7,0.0,without
1,100.0,59.9,0.09453125,mining
2,100.0,60.0,0.07734375,mining
3,100.0,60.2,0.12890625,mining
4,100.0,60.1,0.1701171875,mining
5,100.0,60.0,0.19599609375,mining
6,100.0,59.8,9.1951171875,mining
7,100.0,59.9,3.041796875,mining
8,100.0,59.9,0.37412109375,mining
9,100.0,59.8,0.1546875,mining
10,100.0,59.8,0.7154296875,mining
11,100.0,59.2,0.0515625,mining
12,100.0,59.0,0.19921875,mining
13,100.0,59.2,0.24921875,mining
14,100.0,58.9,0.07734375,mining
15,100.0,59.0,0.21669921875,mining
16,100.0,58.9,0.141796875,mining
17,100.0,58.9,0.1224609375,mining
18,100.0,58.8,0.3673828125,mining
19,94.0,58.6,1.42734375,mining
20,100.0,59.0,19.541015625,mining
21,100.0,59.3,3.6248046875,mining
22,99.7,59.5,0.094921875,mining
23,100.0,59.3,0.2615234375,mining
24,100.0,59.2,0.6544921875,mining
25,99.7,59.1,0.18447265625,mining
26,100.0,59.1,0.2744140625,mining
27,100.0,59.0,0.04892578125,mining
28,100.0,59.5,0.012890625,mining
29,90.3,59.6,0.0,mining
30,100.0,59.6,0.140625,mining
31,100.0,59.5,0.0064453125,mining
32,100.0,59.4,0.0,mining
33,100.0,59.5,0.421875,mining
34,100.0,59.5,0.01025390625,mining
35,100.0,59.5,0.0,mining
36,99.6,59.2,0.05087890625,mining
37,100.0,59.6,10.61875,mining
38,100.0,59.5,0.0064453125,mining
39,100.0,59.4,0.0171875,mining
40,100.0,59.6,2.89775390625,mining
41,100.0,59.7,0.01171875,mining
42,100.0,59.8,0.0,mining
43,100.0,59.8,0.0,mining
44,100.0,59.6,0.0,mining
45,100.0,59.6,0.0,mining
46,100.0,59.3,0.09052734375,mining
47,100.0,59.6,0.005859375,mining
