,Mean,Median,Variance,Standard Deviation
time,150.0,150.0,7475.0,86.45808232895291
cpu%,73.8953177257525,73.3,59.74447464703373,7.729455003234945
mem%,81.47123745819397,81.5,0.005075980337141126,0.07124591452947408
down,13.089377852280936,8.678320313,232.18260924966572,15.237539474917389
