,Mean,Median,Variance,Standard Deviation
time,150.0,150.0,7475.0,86.45808232895291
cpu%,100.0,100.0,0.0,0.0
mem%,90.04515050167224,90.1,0.19651163834706287,0.44329633243132394
down,3.036683802832776,0.041992188,74.80547464939193,8.649015819698327
